name,focus_area,region,last_grant_year,average_grant,website,notes
Apex Community Trust,Education,Northeast,2023,50000,https://apexcommunity.org,Supports STEM education programmes for teens.
Blue Horizon Foundation,Environment,Pacific Northwest,2022,75000,https://bluehorizon.org,Interested in coastal resilience and climate innovation.
Catalyst Health Fund,Health,Midwest,2021,100000,https://catalysthealthfund.org,Prefers multi-year partnerships with community clinics.
GreenRoots Alliance,Environment,Southeast,2023,65000,https://greenrootsalliance.org,Focus on urban green spaces and youth employment.
Harbor Lights Philanthropy,Homelessness,West Coast,2020,40000,https://harborlightsphilanthropy.org,Offers rapid-response grants during emergencies.
Momentum Arts Collective,Arts & Culture,Southwest,2023,30000,https://momentumarts.org,Emphasis on cross-cultural collaborations.
Northstar Giving Circle,Education,Rocky Mountains,2022,45000,https://northstargiving.org,Focuses on rural teacher retention and training.
OpenHands Relief,Human Services,Mid-Atlantic,2021,55000,https://openhandsrelief.org,Supports wraparound services for families.
Riverbend Legacy Fund,Environment,Great Lakes,2023,80000,https://riverbendlegacy.org,Seeks measurable conservation outcomes.
Unity Health Initiatives,Health,Southern Plains,2022,90000,https://unityhealthinitiatives.org,Pilot programmes for telehealth expansion.
